archive,label,samples,data_files,data_bytes,archive_bytes,sha256
healthy.tar,healthy,946,17028,723068401,753725440,fc2dbd7315db514dc2619b2b1ee5db538e59035564039db7f4b85418d00c3073
minor.tar,minor,712,12816,546068948,569180160,9d71953052e6e9315620d20f78fbcb6fb6ac00c863db476827c0d12fe21d2276
serious.tar,serious,704,12672,535892920,558694400,5122aa1d90e14a83a304be521b387f78ee79352b09e7d9ebd4e722ac0b86bf51
loss.tar,loss,834,15012,802488471,829542400,24d2ac70d0115387634e8163549c9db0beb788101023e6bb92a35d8596ccafc4
fishnet.tar,fishnet,683,12294,655917141,678072320,df371a1051ca4be326438e509186cda53ac493e2770be58d4e3cdf9a158a4c75
plastic.tar,plastic,1006,18108,1020687348,1053317120,9fdba4a82e4b10bca5251b57857a38d143a6fc6dc93aa7bced2e8496c7213b5d
3mm.tar,3mm,669,12042,593980417,615680000,7a2b569e15b45b0715e58df6311da0a6aef4f87ae6a447e42378789202c49a5d
